driver_program,0,11231.786417484283,/home/users/vhayots/spark-1572497074-isilonAD_1it_25cpus_20bb-0,allfiles
increment_data,7717.048907518387,7719.478736162186,bigbrain_4620_5436_695.nii,133832
save_incremented,7727.630081415176,7841.193518400192,bigbrain_4620_5436_695.nii,133832
load_img,2232.298523902893,2232.686648130417,bigbrain_2310_604_1390.nii,133874
increment_data,2246.446390390396,2248.834072113037,bigbrain_2310_604_1390.nii,133874
save_incremented,2268.8924906253815,2397.3746201992035,bigbrain_2310_604_1390.nii,133874
load_img,4347.892718791962,4348.272063970566,bigbrain_5390_4832_4865.nii,133813
increment_data,4397.851727724075,4402.5860776901245,bigbrain_5390_4832_4865.nii,133813
save_incremented,4409.39009976387,4462.899922609329,bigbrain_5390_4832_4865.nii,133813
load_img,4949.250462770462,4949.63449549675,bigbrain_2310_3624_2780.nii,133811
increment_data,4949.856885910034,4950.716951608658,bigbrain_2310_3624_2780.nii,133811
save_incremented,4961.120552778244,5078.781633615494,bigbrain_2310_3624_2780.nii,133811
load_img,10023.625255823135,10024.113524198532,bigbrain_5390_4832_695.nii,133877
increment_data,10073.893379449844,10075.32792878151,bigbrain_5390_4832_695.nii,133877
save_incremented,10084.937938690186,10187.677470684052,bigbrain_5390_4832_695.nii,133877
load_img,2461.2459535598755,2461.6250109672546,bigbrain_6930_2416_1390.nii,133838
increment_data,2501.267858028412,2502.1735389232635,bigbrain_6930_2416_1390.nii,133838
save_incremented,2535.0497512817383,2656.0329337120056,bigbrain_6930_2416_1390.nii,133838
load_img,10375.616881608963,10376.420000314713,bigbrain_1540_5436_2085.nii,133880
increment_data,10396.042917013168,10398.53902220726,bigbrain_1540_5436_2085.nii,133880
save_incremented,10421.184725284576,10513.482384443283,bigbrain_1540_5436_2085.nii,133880
load_img,2182.2112102508545,2182.596809864044,bigbrain_3080_604_2085.nii,133813
increment_data,2232.416994571686,2233.304243326187,bigbrain_3080_604_2085.nii,133813
save_incremented,2246.2912850379944,2324.946989297867,bigbrain_3080_604_2085.nii,133813
load_img,10044.953137159348,10045.82677602768,bigbrain_2310_604_6255.nii,133823
increment_data,10073.876577615738,10075.848242998123,bigbrain_2310_604_6255.nii,133823
save_incremented,10097.085067987442,10199.023005962372,bigbrain_2310_604_6255.nii,133823
load_img,3555.483142852783,3555.865581035614,bigbrain_0_1812_2780.nii,133868
increment_data,3593.6127519607544,3594.2885773181915,bigbrain_0_1812_2780.nii,133868
save_incremented,3596.9749369621277,3714.6889169216156,bigbrain_0_1812_2780.nii,133868
load_img,1694.5197565555573,1695.0137774944305,bigbrain_4620_1812_3475.nii,133847
increment_data,1695.0229527950287,1695.988523721695,bigbrain_4620_1812_3475.nii,133847
save_incremented,1703.501496553421,1798.4097888469696,bigbrain_4620_1812_3475.nii,133847
load_img,6036.603946208954,6037.2875854969025,bigbrain_3080_2416_4865.nii,133880
increment_data,6045.418498754501,6047.573843717575,bigbrain_3080_2416_4865.nii,133880
