driver_program,0,323.8527488708496,/pmem1-data/val/spark-1570914005-optaneAD_1it_25cpus_120delay_withpc_em-1,allfiles
save_incremented,22.0173978805542,32.51716065406799,bigbrain_0_0_0.nii,156992
load_img,17.185364484786987,17.186412572860718,bigbrain_0_0_6255.nii,156948
increment_data,17.18674325942993,22.74362277984619,bigbrain_0_0_6255.nii,156948
save_incremented,22.744861125946045,33.328744888305664,bigbrain_0_0_6255.nii,156948
load_img,17.25624918937683,17.26026940345764,bigbrain_0_1208_4865.nii,157025
increment_data,17.261667013168335,22.951318740844727,bigbrain_0_1208_4865.nii,157025
save_incremented,22.952765703201294,33.07966065406799,bigbrain_0_1208_4865.nii,157025
load_img,20.401521921157837,20.41097927093506,bigbrain_0_3624_4865.nii,156978
increment_data,20.416165113449097,27.703775882720947,bigbrain_0_3624_4865.nii,156978
save_incremented,27.706552028656006,36.00410747528076,bigbrain_0_3624_4865.nii,156978
load_img,21.34635305404663,21.366702795028687,bigbrain_0_1812_4170.nii,157043
increment_data,21.3739173412323,27.49269390106201,bigbrain_0_1812_4170.nii,157043
save_incremented,27.493422508239746,35.1754686832428,bigbrain_0_1812_4170.nii,157043
load_img,22.983184576034546,22.98818588256836,bigbrain_0_4228_695.nii,157039
increment_data,22.99109697341919,28.077541828155518,bigbrain_0_4228_695.nii,157039
save_incremented,28.07779550552368,39.72913193702698,bigbrain_0_4228_695.nii,157039
load_img,23.969337463378906,23.98014783859253,bigbrain_0_3624_4865.nii,156984
increment_data,23.987590551376343,28.599560737609863,bigbrain_0_3624_4865.nii,156984
save_incremented,28.599865436553955,41.62416434288025,bigbrain_0_3624_4865.nii,156984
load_img,24.052597284317017,24.08895754814148,bigbrain_0_1208_4865.nii,156969
increment_data,24.09685730934143,28.575895309448242,bigbrain_0_1208_4865.nii,156969
save_incremented,28.576040506362915,33.26357817649841,bigbrain_0_1208_4865.nii,156969
load_img,24.10499119758606,24.114718675613403,bigbrain_0_1208_4865.nii,156963
