driver_program,0,9749.811122655869,/home/users/vhayots/spark-1570955656-isilon_1it_96cpus_0delay_npc-0,allfiles
load_img,9007.673111200333,9018.174234390259,bigbrain_6160_0_2780.nii,111962
increment_data,9268.061730623245,9320.72802233696,bigbrain_6160_0_2780.nii,111962
save_incremented,9323.392462968826,9346.144691944122,bigbrain_6160_0_2780.nii,111962
load_img,1685.505320072174,1691.8113923072815,bigbrain_3080_2416_6255.nii,112029
increment_data,2071.4683377742767,2105.7233562469482,bigbrain_3080_2416_6255.nii,112029
save_incremented,2417.544182538986,2597.382180452347,bigbrain_3080_2416_6255.nii,112029
load_img,1688.7099299430847,1694.5139112472534,bigbrain_3080_1812_1390.nii,112083
increment_data,2087.6629338264465,2123.645830631256,bigbrain_3080_1812_1390.nii,112083
save_incremented,2418.8732285499573,2606.3142075538635,bigbrain_3080_1812_1390.nii,112083
load_img,8143.374654054642,8160.613120794296,bigbrain_5390_3020_6255.nii,111983
increment_data,8586.866159677505,8623.839027881622,bigbrain_5390_3020_6255.nii,111983
save_incremented,8640.753736019135,8809.130665063858,bigbrain_5390_3020_6255.nii,111983
load_img,1736.2301247119904,1740.4851729869843,bigbrain_0_3020_1390.nii,112120
increment_data,2173.346174478531,2203.8311517238617,bigbrain_0_3020_1390.nii,112120
save_incremented,2437.2134153842926,2660.6813175678253,bigbrain_0_3020_1390.nii,112120
load_img,3053.564910173416,3075.2270908355713,bigbrain_3850_1208_0.nii,112332
increment_data,3374.12544965744,3400.1637403964996,bigbrain_3850_1208_0.nii,112332
save_incremented,3412.4779126644135,3819.275199651718,bigbrain_3850_1208_0.nii,112332
load_img,9659.501136541367,9659.526234388351,bigbrain_4620_3624_5560.nii,112240
increment_data,9659.585687160492,9681.51189160347,bigbrain_4620_3624_5560.nii,112240
save_incremented,9681.515616893768,9704.419133424759,bigbrain_4620_3624_5560.nii,112240
load_img,2655.8754217624664,2668.350132226944,bigbrain_6160_3020_0.nii,112129
increment_data,3049.0200016498566,3084.1810615062714,bigbrain_6160_3020_0.nii,112129
save_incremented,3370.089412212372,3545.9815266132355,bigbrain_6160_3020_0.nii,112129
